Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite_catch,Chrome 69.0.3497.100,,2018-09-20 13:15:24,2018-09-20 13:16:31,"1m - 6,758s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:15:24,2018-09-20 13:15:32,"7,502s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:15:24,2018-09-20 13:15:28,"3,272s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:15:28,2018-09-20 13:15:29,"1,120s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:15:29,2018-09-20 13:15:29,"0,170s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:15:29,2018-09-20 13:15:31,"1,983s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:15:31,2018-09-20 13:15:31,"0,059s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 13:15:31,2018-09-20 13:15:32,"0,656s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:15:32,2018-09-20 13:16:12,"40,489s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:15:32,2018-09-20 13:15:34,"2,435s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:15:34,2018-09-20 13:15:35,"0,946s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:15:35,2018-09-20 13:15:35,"0,133s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:15:35,2018-09-20 13:15:37,"1,848s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:15:37,2018-09-20 13:16:12,"35,110s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:16:12,2018-09-20 13:16:19,"6,567s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:12,2018-09-20 13:16:15,"3,051s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:16:15,2018-09-20 13:16:16,"0,886s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:16:16,2018-09-20 13:16:16,"0,126s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:16:16,2018-09-20 13:16:18,"1,794s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:16:18,2018-09-20 13:16:18,"0,053s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:18,2018-09-20 13:16:19,"0,648s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:16:19,2018-09-20 13:16:25,"5,894s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:19,2018-09-20 13:16:21,"2,158s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:16:21,2018-09-20 13:16:22,"0,935s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:16:22,2018-09-20 13:16:22,"0,125s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:16:22,2018-09-20 13:16:24,"1,962s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:16:24,2018-09-20 13:16:24,"0,054s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:24,2018-09-20 13:16:25,"0,651s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:16:25,2018-09-20 13:16:31,"5,949s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:25,2018-09-20 13:16:27,"2,414s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:16:27,2018-09-20 13:16:28,"0,943s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:16:28,2018-09-20 13:16:28,"0,130s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:16:28,2018-09-20 13:16:30,"1,754s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:16:30,2018-09-20 13:16:30,"0,047s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 13:16:30,2018-09-20 13:16:31,"0,653s",PASSED
