Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite_catch,Chrome 69.0.3497.100,,2018-09-20 13:36:03,2018-09-20 13:37:18,"1m - 15,226s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:36:03,2018-09-20 13:36:19,"16,224s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:36:03,2018-09-20 13:36:07,"3,237s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:36:07,2018-09-20 13:36:08,"1,105s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:36:08,2018-09-20 13:36:08,"0,178s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:36:08,2018-09-20 13:36:08,"0,437s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-20 13:36:08,2018-09-20 13:36:10,"1,499s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:36:10,2018-09-20 13:36:19,"9,524s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:36:19,2018-09-20 13:36:34,"14,335s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:36:19,2018-09-20 13:36:22,"3,071s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:36:22,2018-09-20 13:36:24,"1,103s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:36:24,2018-09-20 13:36:24,"0,199s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:36:24,2018-09-20 13:36:24,"0,380s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-20 13:36:24,2018-09-20 13:36:25,"1,155s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:36:25,2018-09-20 13:36:34,"8,416s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:36:34,2018-09-20 13:36:49,"15,214s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:36:34,2018-09-20 13:36:37,"3,060s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:36:37,2018-09-20 13:36:38,"1,052s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:36:38,2018-09-20 13:36:38,"0,133s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:36:38,2018-09-20 13:36:38,"0,403s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-20 13:36:38,2018-09-20 13:36:40,"1,383s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:36:40,2018-09-20 13:36:49,"9,175s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:36:49,2018-09-20 13:37:03,"14,514s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:36:49,2018-09-20 13:36:52,"3,059s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:36:52,2018-09-20 13:36:53,"1,037s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:36:53,2018-09-20 13:36:53,"0,157s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:36:53,2018-09-20 13:36:54,"0,416s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-20 13:36:54,2018-09-20 13:36:55,"1,310s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:36:55,2018-09-20 13:37:03,"8,527s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-20 13:37:03,2018-09-20 13:37:17,"13,991s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 13:37:03,2018-09-20 13:37:07,"3,053s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 13:37:07,2018-09-20 13:37:08,"1,081s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 13:37:08,2018-09-20 13:37:08,"0,189s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 13:37:08,2018-09-20 13:37:08,"0,371s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-20 13:37:08,2018-09-20 13:37:09,"1,225s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-20 13:37:09,2018-09-20 13:37:17,"8,066s",FAILED
