Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite_catch,Chrome 69.0.3497.100,,2018-09-24 10:36:24,2018-09-24 10:37:38,"1m - 14,287s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-24 10:36:24,2018-09-24 10:36:40,"16,278s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:36:24,2018-09-24 10:36:28,"3,401s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:36:28,2018-09-24 10:36:29,"1,133s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:36:29,2018-09-24 10:36:29,"0,173s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-24 10:36:29,2018-09-24 10:36:29,"0,426s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-24 10:36:29,2018-09-24 10:36:31,"1,614s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-24 10:36:31,2018-09-24 10:36:40,"9,217s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-24 10:36:40,2018-09-24 10:36:55,"14,345s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:36:40,2018-09-24 10:36:43,"3,066s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:36:43,2018-09-24 10:36:44,"1,066s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:36:44,2018-09-24 10:36:45,"0,190s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-24 10:36:45,2018-09-24 10:36:45,"0,383s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-24 10:36:45,2018-09-24 10:36:46,"1,124s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-24 10:36:46,2018-09-24 10:36:55,"8,506s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-24 10:36:55,2018-09-24 10:37:09,"14,333s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:36:55,2018-09-24 10:36:58,"3,062s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:36:58,2018-09-24 10:36:58,"0,589s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:36:58,2018-09-24 10:36:59,"0,220s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-24 10:36:59,2018-09-24 10:36:59,"0,384s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-24 10:36:59,2018-09-24 10:37:00,"1,262s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-24 10:37:00,2018-09-24 10:37:09,"8,805s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-24 10:37:09,2018-09-24 10:37:23,"14,357s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:37:09,2018-09-24 10:37:12,"3,052s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:37:12,2018-09-24 10:37:13,"1,027s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:37:13,2018-09-24 10:37:13,"0,134s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-24 10:37:13,2018-09-24 10:37:14,"0,381s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-24 10:37:14,2018-09-24 10:37:15,"1,081s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-24 10:37:15,2018-09-24 10:37:23,"8,675s",FAILED
,,,,,,
Test Cases/testGoogle-catchexception,Chrome 69.0.3497.100,,2018-09-24 10:37:23,2018-09-24 10:37:37,"13,985s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 10:37:23,2018-09-24 10:37:26,"3,052s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 10:37:26,2018-09-24 10:37:28,"1,305s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 10:37:28,2018-09-24 10:37:28,"0,186s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-24 10:37:28,2018-09-24 10:37:28,"0,392s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-09-24 10:37:28,2018-09-24 10:37:29,"0,996s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-24 10:37:29,2018-09-24 10:37:37,"8,046s",FAILED
